name	z	z_err	maxdate	maxdate_err	bmax	bmax_err	x0	x0_err	x1	x1_err	colour	colour_err
LSQ11bk	0.04	0.001	2455913.06724	0.171873744344	16.8959321233	0.0200055106337	0.00314390068174	5.76698481138e-05	1.12472441541	0.0697344679573	-0.129378995016	0.0223517570078
LSQ11ot	0.027	0.001	2455928.3135	0.0590643242467	17.8221566384	0.0201626995826	0.00133210948633	2.55182850571e-05	-0.0668632023133	0.0467874193505	0.276777124874	0.0223820516966
LSQ11pn	0.033	0.001	2455928.88787	0.107878137846	17.085582181	0.0232248599797	0.00263366318072	5.73386237789e-05	-2.60121237665	0.109306899444	0.107363041963	0.0260248706771
LSQ12agq	0.062	0.001	2455986.95552	0.253130428027	18.4991116002	0.0244597900728	0.000717307130348	1.63836764372e-05	0.214836836716	0.0865954345018	0.0896287079892	0.0250469864269
LSQ12aor	0.093	0.001	2455993.89888	0.102691343054	19.3902772188	0.0212026433058	0.000315806966243	6.21197087431e-06	-1.74062933978	0.132337987714	-0.000437859531814	0.0224438800112
LSQ12bld	0.07	0.001	2456025.61155	0.0653670185711	19.0129317421	0.0209336623672	0.000446866507121	8.7286831128e-06	-0.770784854959	0.0973409750145	0.0662124235985	0.0245057417219
LSQ12blp	0.074	0.001	2456025.07937	0.128027045866	18.3364993165	0.0305588543912	0.000834012111023	2.35766059933e-05	-0.404176182839	0.124927957997	-0.0390787415769	0.0309658149237
LSQ12btn	0.05	0.001	2456032.41831	0.283558561234	18.2770201158	0.0244549337118	0.0008793515675	2.01392868498e-05	-1.50369128099	0.128644047353	0.106494453084	0.0267545066432
LSQ12ca	0.105	0.001	2455952.68413	0.815273697022	19.1042531085	0.0312748283098	0.000411284506415	1.1904813472e-05	0.336580518808	0.338386870026	-0.034236043327	0.0208132247843
LSQ12cda	0.138	0.001	2456043.19098	1.0614516167	20.1399586194	0.059309344482	0.000158098427093	8.72874065821e-06	-1.03922712804	0.444226384264	0.123527347722	0.0295532843639
LSQ12cdl	0.114	0.001	2456048.53249	0.67547826888	19.2124946495	0.0253586825141	0.000372207713126	8.69807695629e-06	-0.263119775606	0.508189162805	-0.110055553609	0.0222350055776
# Created on 2013-10-10 13:57
